,OfferDetails,FaceValue,Product
684,"Save $1.00 on ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"['Downy Odor', 'Wash Scent', 'Downy Unstopables', 'Fresh Protect', 'Odor Protect', 'Infusions', 'Downy Libre Enjuague', 'Downy Liquid Fabric Conditioner', 'Protect', 'Downy Wrinkle Guard', 'Downy Nature', 'Bounce/Downy', 'Bounce/Downy Wrinkle Guard', 'Boosters', 'Bounce Rapid Touch-up', 'Downy Wrinkle Releaser Spray']"
685,Save $1.00 on ONE Dreft Blissfuls In Wash Scent Boosters 5.7 oz (excludes trial/travel size).,$1.00,"['Wash Scent', 'Dreft Blissfuls', 'Boosters']"
686,Save $1.00 on ONE Bounty Paper Towel Product 4 ct or larger (includes Double Plus Roll).,$1.00,"['Double Plus Roll', 'Bounty Paper Towel Product']"
687,Save $0.25 on ONE Puffs Facial Tissues (including Multi-Packs) (excludes Puffs To Go Singles and trial/travel size).,$0.25,"['Singles', 'Puffs Facial Tissues', 'Multi-Packs', 'Puffs']"
688,Save $1.00 on ONE Charmin Toilet Paper Product 4 ct or larger (excludes single rolls).,$1.00,['Charmin Toilet Paper Product']
689,Save $1.00 on ONE Prilosec OTC Product.,$1.00,['Prilosec OTC Product']
690,"Save $1.00 on ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F & W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).",$1.00,"['Crest Cavity', 'Regular', 'Base Baking Soda', 'Tartar', 'Gum Detoxify', 'Gum Enamel', 'Kids', 'Crest', 'Control/Protection', 'W Pep Gleem', 'Therapy']"
691,"Save $1.00 on ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,"['Floss Picks', 'Interdental Brush', 'Glide Manual Floss', 'Interdental Picks']"
692,Save $2.00 on ONE (1) Kingsford®  or Matchlight® Charcoal 8lbs,$2.00,"['Kingsford®', 'Matchlight® Charcoal']"
693,"SAVE $0.40 on any ONE (1) Lipton® TeaBags,K-Cup®, Liquid or Powdered Iced Tea Mix product.",$0.40,"['Liquid', 'Powdered Iced Tea Mix', 'Lipton® TeaBags', 'K-Cup®']"
694,ONLY On Colgate Optic White Renewal Toothpaste (3.0 oz or larger),,['Colgate Optic White Renewal Toothpaste']
695,"Save $1.00 off ONE (1) Banana Boat® Sun Care Product (excludes 1 oz., 1.8 oz., 2 oz., lip balm  &  trial sizes)",$1.00,"['Banana', 'Boat® Sun Care Product']"
696,"Save $2.00 on ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"['Bag', 'PULL-UPS® Training Pants']"
697,Save $0.50 on any one (1) pack of Energizer® Batteries,$0.50,['Energizer® Batteries']
698,"Save $1.00 on ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"['Gain Botanicals', 'Gain Essential Oils', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks', 'Gain', 'Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Powder Laundry Detergent', 'Flings']"
699,"Save $1.00 on ONE Gain Liquid Fabric Softener 48 ld OR Gain Fireworks In Wash Scent Boosters 5.7 oz OR Gain Dryer Sheets 105 ct OR 120 ct (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"['Wash Scent', 'Gain Flings', 'Gain Detergent', 'Gain Liquid Fabric Softener', 'Gain Fireworks', 'Boosters', 'Gain Dryer Sheets']"
700,"Save $0.50 on ONE (1) Pine-Sol® Product, 40 oz. or Larger",$0.50,['Pine-Sol® Product']
701,"Save $1.00 on any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial  &  travel sizes)",$1.00,['BENADRYL®']
702,"Save $0.55 on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",$0.55,"['Excludes Club Packs', 'Twin Packs', 'Product']"
703,Save $1.00 on TWO (2) Reese's Standard or King Size bars,$1.00,"['Reese', 'Standard', 'King']"
704,$2.00 OFF Glacier Ice Auto AC Refrigerant 12 oz. - When you clip the Family Dollar Smart Coupon.,$2.00,"['Family Dollar Smart Coupon', 'Glacier Ice Auto AC Refrigerant']"
